source_row,index,valid,issues,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
49,49,True,,1005.0790614573109,-333.7806881235309,1113.9414036393223,-0.5446821203974889,-0.12274786777651976,0.8296109622441195,-0.14997645823255495,0.9875407645689646,0.047647668259462206,-0.8251232936327239,-0.0984692808487149,-0.5563050880891013
50,50,True,,1005.1407504755264,-333.14837059717604,1112.8084687997386,-0.5441830937072911,-0.12257113084722523,0.8299645043048491,-0.16305610850321925,0.9858581765724,0.03868282778092941,-0.8229686907792715,-0.11428024137257957,-0.5564733240945849
51,51,True,,1005.5771088250275,-332.1028738520001,1111.4781041137658,-0.5400819508823926,-0.12198678648330565,0.8327248706833159,-0.17199787337555444,0.9845552482175162,0.03267559887181971,-0.8238496330553019,-0.12557940567952103,-0.5527219870638609
52,52,True,,1006.1339352851782,-330.73708034158756,1110.2420135174018,-0.5348753755914847,-0.12123711369778901,0.836187715078437,-0.1778318105311258,0.9836374997811785,0.028863752137480308,-0.8260049514071268,-0.13326226505076932,-0.5476832925737726
53,53,True,,1006.480426459106,-330.8795703225874,1108.1335231530572,-0.5314626314913184,-0.12096425229940731,0.838400334562176,-0.1971189940885205,0.9802411296217445,0.016475131787521507,-0.8238273930246875,-0.1565087136984127,-0.544805881978724
54,54,True,,1006.4595663179604,-331.5369317928156,1106.2051823651675,-0.5313527550100507,-0.12131125106405288,0.838419841194436,-0.22042672870586655,0.975402480357026,0.0014347771227147027,-0.8179708472893513,-0.18404777009960183,-0.5450230374086079
55,55,True,,1006.4197101992688,-331.59837808147375,1104.7556292270604,-0.5314312912812941,-0.12166126889537217,0.8383193414790477,-0.23805458297310647,0.9712006769041833,-0.0099629667447311,-0.8129642047301939,-0.204860393516229,-0.5450884524513238
56,56,True,,1006.90080680013,-331.31754856111417,1102.94380751649,-0.5271710440676721,-0.12078829816085293,0.8411307135778632,-0.25246324611317217,0.9674138617700458,-0.019306201520923195,-0.8113895486500923,-0.2225322607681222,-0.5404871814010284
57,57,True,,1007.7369329100562,-330.3993660958057,1101.1625397193131,-0.5200101326953362,-0.11905744078027504,0.8458219598053897,-0.2613134064412418,0.9649345589400845,-0.024831443316467,-0.8132064716345125,-0.23393721969356618,-0.5328870534492192
58,58,True,,1008.6613908066245,-329.26458382415683,1099.4672381962068,-0.512282594851664,-0.11701177603832871,0.8508083140639859,-0.2682924423560026,0.9628974438230578,-0.029114911191215394,-0.815834363327935,-0.24318050281093126,-0.5246689762754472
59,59,True,,1009.2267124285545,-330.70663697246255,1096.4256223859622,-0.5070317014992539,-0.11626356342548264,0.8540501375764659,-0.29533586957209484,0.9543131306809244,-0.045422161486081594,-0.8097503181962117,-0.2752621158633746,-0.5182038110160443
60,60,True,,1009.4225289052021,-332.355966213813,1093.8548748102196,-0.5048792962541038,-0.11631574714044365,0.8553172178678047,-0.32305067421893796,0.9443307911517332,-0.062270528899563096,-0.8004593419410199,-0.30774990471144276,-0.5143489458037678
61,61,True,,1009.8172292958876,-332.3709303958074,1092.137575647451,-0.5015658428351504,-0.11547144812914226,0.857378591969746,-0.33792859559238575,0.9384674820767256,-0.07129550733060669,-0.7963893329157687,-0.3254921346999488,-0.5097243379184943
