row_label,inserted_transition_point,frame_a_origin_dy_mm,frame_a_origin_dz_mm,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
259,0,-3.9995911352871314,3.9996734177363207,1059.0691779888523,-663.7068686120007,1026.0884614791119,0.09542252168827822,0.21536531341540988,0.9718602389912514,0.14887356913416433,-0.9684225027713007,0.19998629087871375,0.9842414352017016,0.1256011062994772,-0.12447152014996112
260,0,-3.999751872901271,3.999804330581584,1058.9708148626023,-662.7366367968247,1026.2365188747938,0.09645006002157298,0.21370110992311306,0.9721261345830923,0.159204190987361,-0.967417213052278,0.19687041794597612,0.9825229826797411,0.13577839116661006,-0.12732956058320538
261,0,-3.999970762897689,3.999864870173916,1058.890063508203,-662.1884547711549,1026.3982939964449,0.09743129974888964,0.211177896810407,0.9725795791234645,0.1738168745892572,-0.9658205403978762,0.1922976283098077,0.979946343397058,0.15031493486772235,-0.13080743258105768
262,0,-4.000165912127927,3.999886999520055,1058.8078164856202,-661.3573785646404,1026.5394734525153,0.09840578418444382,0.20918595650975097,0.972911885649541,0.1855681399852709,-0.9643663021531644,0.1885791629365203,0.9776915500613943,0.16198416857993364,-0.1337174710649887
263,0,-4.000248789764242,3.9998921800333638,1058.621685025734,-660.0062269622329,1026.696040496673,0.10025244128553046,0.20831259831898527,0.9729107407146272,0.19208396325371005,-0.9634937939467902,0.18650324417223313,0.9762444361311561,0.16818314543263055,-0.13660611448741242
264,0,-4.000293274267083,3.9998817621277194,1058.2725496423582,-658.502317375131,1026.9422913256185,0.10356614781231394,0.20794881191396453,0.9726414265549709,0.19708712623074343,-0.9627999798045923,0.18485903700491293,0.9749003629609668,0.17254996526179706,-0.1406975187653559
265,0,-4.00035955543333,3.9998599250485793,1057.880128136046,-656.7838933217987,1027.2012725114591,0.10723942782760712,0.20801481216493795,0.9722291617922151,0.19995843444330932,-0.9623999440058973,0.18385584644614003,0.9739180302336478,0.17468882533645777,-0.1448015355180336
266,0,-4.000477248915402,3.999828833094613,1057.431658038773,-655.6693724600325,1027.5013376094648,0.1116911934863993,0.2069390403033524,0.9719574635218927,0.2090109709636132,-0.9610907624238176,0.18060719919331222,0.9715140201327161,0.18297753955590457,-0.15059790404795162
267,0,-4.00050348488132,3.999786880940649,1057.0320662913273,-654.9539241852594,1027.7775424611723,0.11588349907353265,0.20503549149970815,0.9718700848714028,0.22211925524817414,-0.9590321145442,0.175842087455981,0.9681084913843443,0.1954938630708226,-0.1566783278286294
268,0,-4.000460393785819,3.9997566987892395,1056.6758744005085,-654.2343482965136,1028.014782110853,0.11971707697513687,0.20319657486082854,0.9717916306726236,0.23512830219880923,-0.9567872141187276,0.171093273988283,0.9645633742712993,0.2080129295590828,-0.16232103422111832
